Language,Data Type,Version,R5 Mean,R5 Std,R5 Count,R9 Mean,R9 Std,R9 Count
Cpp,double,a,1.5767222222222221,3.457621850485667,180,0.7907,2.1652049044402912,180
Cpp,double,b,1.6990333333333334,3.8425619260211366,180,0.8214777777777778,2.275902376026208,180
Cpp,double,c,1.32805,2.911008140513193,180,0.5384055555555556,1.7706291237364509,180
Cpp,double,d,1.3369277777777777,2.931404830396343,180,0.5518222222222222,1.801991896495137,180
Cpp,double,e,2.4233555555555557,5.741258345731104,180,2.025088888888889,4.828811848596878,180
Cpp,double,f,2.441027777777778,5.779103432649186,180,1.9965111111111111,4.701623232695515,180
Cpp,float,a,1.5741277777777778,3.4573615655228784,180,0.7718888888888888,2.1309487904128264,180
Cpp,float,b,1.5884833333333335,3.4940039564610346,180,0.7772166666666667,2.1659140438924918,180
Cpp,float,c,1.3238944444444445,2.902049627259174,180,0.49987777777777775,1.630923978634326,180
Cpp,float,d,1.3283055555555556,2.9125070371262187,180,0.5337000000000001,1.77204415591226,180
Cpp,float,e,2.072061111111111,4.794847708667835,180,1.7182722222222222,4.179344480730149,180
Cpp,float,f,2.0869388888888887,4.831777743052317,180,1.7141666666666668,4.160994156965577,180
java,double,a,0.47014944444444445,1.003370526173151,180,3332.9555555555557,8287.17587387248,180
java,double,b,0.5418283333333334,1.2085436229289972,180,4866.522222222222,10512.530123223532,180
java,double,c,0.20109,0.44409917145766603,180,1823.9777777777779,3990.6290804338073,180
java,double,d,0.20506388888888888,0.452601412786461,180,1851.7166666666667,4137.277278212767,180
java,double,e,1.7739322222222222,4.24299111672527,180,17600.01111111111,41513.84645442068,180
java,double,f,1.7945972222222222,4.259118509993706,180,17827.13888888889,42279.02155146589,180
java,float,a,0.45952944444444443,1.0221515226586675,180,4578.922222222222,10246.996789333973,180
java,float,b,0.4846327777777778,1.076189036520739,180,4842.205555555555,11170.988999442587,180
java,float,c,0.16569166666666668,0.36122255011597837,180,1611.0111111111112,3502.183315808795,180
java,float,d,0.16843,0.36689655718741443,180,1686.1722222222222,3651.2575790707083,180
java,float,e,1.4429583333333333,3.4739787920940155,180,13652.922222222222,31903.7395236308,180
java,float,f,1.4443722222222224,3.477655386807566,180,14098.394444444444,32892.278136024914,180
python,double,a,145.90584833333332,321.2058601843829,180,133.8654611111111,292.53803167638335,180
python,float,a,147.3660766666667,324.8347234539417,180,135.80941722222224,295.6769173832881,180
