Running float version...

Testing matrix size: 91 
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(C)     double  x64     00004   00157   0,0020  0,5077
Java_ver(D)     double  x64     00000   00157   0,0072  1,8681
Java_ver(D)     double  x64     00001   00157   0,0016  0,4112
Java_ver(D)     double  x64     00002   00157   0,0012  0,3130
Java_ver(D)     double  x64     00003   00157   0,0013  0,3360
Java_ver(D)     double  x64     00004   00157   0,0013  0,3290
Java_ver(E)     double  x64     00000   00157   0,0086  2,2189
Java_ver(E)     double  x64     00001   00157   0,0032  0,8150
Java_ver(E)     double  x64     00002   00157   0,0047  1,2049
Java_ver(E)     double  x64     00003   00157   0,0037  0,9442
Java_ver(E)     double  x64     00004   00157   0,0037  0,9524
Java_ver(F)     double  x64     00000   00157   0,0083  2,1341
Java_ver(F)     double  x64     00001   00157   0,0030  0,7867
Java_ver(F)     double  x64     00002   00157   0,0035  0,9116
Java_ver(F)     double  x64     00003   00157   0,0029  0,7524
Java_ver(F)     double  x64     00004   00157   0,0027  0,7065

Testing matrix size: 181
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     double  x64     00000   00181   0,0077  1,2953
Java_ver(A)     double  x64     00001   00181   0,0039  0,6506
Java_ver(A)     double  x64     00002   00181   0,0038  0,6435
Java_ver(A)     double  x64     00003   00181   0,0040  0,6730
Java_ver(A)     double  x64     00004   00181   0,0044  0,7452
Java_ver(B)     double  x64     00000   00181   0,0080  1,3481
Java_ver(B)     double  x64     00001   00181   0,0039  0,6579
Java_ver(B)     double  x64     00002   00181   0,0044  0,7460
Java_ver(B)     double  x64     00003   00181   0,0040  0,6696
Java_ver(B)     double  x64     00004   00181   0,0039  0,6502
Java_ver(C)     double  x64     00000   00181   0,0073  1,2310
Java_ver(C)     double  x64     00001   00181   0,0030  0,4981
Java_ver(C)     double  x64     00002   00181   0,0029  0,4871
Java_ver(C)     double  x64     00003   00181   0,0023  0,3962
Java_ver(C)     double  x64     00004   00181   0,0022  0,3666
Java_ver(D)     double  x64     00000   00181   0,0070  1,1872
Java_ver(D)     double  x64     00001   00181   0,0023  0,3891
Java_ver(D)     double  x64     00002   00181   0,0019  0,3137
Java_ver(D)     double  x64     00003   00181   0,0020  0,3426
Java_ver(D)     double  x64     00004   00181   0,0030  0,5061
Java_ver(E)     double  x64     00000   00181   0,0092  1,5495
Java_ver(E)     double  x64     00001   00181   0,0047  0,7904
Java_ver(E)     double  x64     00002   00181   0,0051  0,8656
Java_ver(E)     double  x64     00003   00181   0,0042  0,7112
Java_ver(E)     double  x64     00004   00181   0,0041  0,6945
Java_ver(F)     double  x64     00000   00181   0,0076  1,2791
Java_ver(F)     double  x64     00001   00181   0,0058  0,9859
Java_ver(F)     double  x64     00002   00181   0,0076  1,2736
Java_ver(F)     double  x64     00003   00181   0,0039  0,6589
Java_ver(F)     double  x64     00004   00181   0,0041  0,6890

Testing matrix size: 200
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     double  x64     00000   00200   0,0100  1,2456
Java_ver(A)     double  x64     00001   00200   0,0057  0,7065
Java_ver(A)     double  x64     00002   00200   0,0052  0,6532
Java_ver(A)     double  x64     00003   00200   0,0052  0,6441
Java_ver(A)     double  x64     00004   00200   0,0056  0,6984
Java_ver(B)     double  x64     00000   00200   0,0096  1,2034
Java_ver(B)     double  x64     00001   00200   0,0056  0,7056
Java_ver(B)     double  x64     00002   00200   0,0078  0,9801
Java_ver(B)     double  x64     00003   00200   0,0056  0,7056
Java_ver(B)     double  x64     00004   00200   0,0053  0,6571
Java_ver(C)     double  x64     00000   00200   0,0081  1,0122
Java_ver(C)     double  x64     00001   00200   0,0031  0,3863
Java_ver(C)     double  x64     00002   00200   0,0026  0,3279
Java_ver(C)     double  x64     00003   00200   0,0033  0,4112
Java_ver(C)     double  x64     00004   00200   0,0029  0,3585
Java_ver(D)     double  x64     00000   00200   0,0075  0,9352
Java_ver(D)     double  x64     00001   00200   0,0042  0,5282
Java_ver(D)     double  x64     00002   00200   0,0026  0,3310
Java_ver(D)     double  x64     00003   00200   0,0034  0,4253
Java_ver(D)     double  x64     00004   00200   0,0025  0,3178
Java_ver(E)     double  x64     00000   00200   0,0089  1,1129
Java_ver(E)     double  x64     00001   00200   0,0054  0,6723
Java_ver(E)     double  x64     00002   00200   0,0092  1,1541
Java_ver(E)     double  x64     00003   00200   0,0059  0,7323
Java_ver(E)     double  x64     00004   00200   0,0062  0,7721
Java_ver(F)     double  x64     00000   00200   0,0092  1,1441
Java_ver(F)     double  x64     00001   00200   0,0065  0,8163
Java_ver(F)     double  x64     00002   00200   0,0105  1,3126
Java_ver(F)     double  x64     00003   00200   0,0055  0,6891
Java_ver(F)     double  x64     00004   00200   0,0054  0,6721

Testing matrix size: 256
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     double  x64     00000   00256   0,0228  1,3575
Java_ver(A)     double  x64     00001   00256   0,0178  1,0589
Java_ver(A)     double  x64     00002   00256   0,0184  1,0993
Java_ver(A)     double  x64     00003   00256   0,0219  1,3081
Java_ver(A)     double  x64     00004   00256   0,0177  1,0571
Java_ver(B)     double  x64     00000   00256   0,0229  1,3635
Java_ver(B)     double  x64     00001   00256   0,0194  1,1538
Java_ver(B)     double  x64     00002   00256   0,0188  1,1180
Java_ver(B)     double  x64     00003   00256   0,0190  1,1333
Java_ver(B)     double  x64     00004   00256   0,0197  1,1750
Java_ver(C)     double  x64     00000   00256   0,0126  0,7493
Java_ver(C)     double  x64     00001   00256   0,0075  0,4485
Java_ver(C)     double  x64     00002   00256   0,0059  0,3527
Java_ver(C)     double  x64     00003   00256   0,0049  0,2919
Java_ver(C)     double  x64     00004   00256   0,0066  0,3941
Java_ver(D)     double  x64     00000   00256   0,0108  0,6430
Java_ver(D)     double  x64     00001   00256   0,0058  0,3469
Java_ver(D)     double  x64     00002   00256   0,0052  0,3088
Java_ver(D)     double  x64     00003   00256   0,0061  0,3660
Java_ver(D)     double  x64     00004   00256   0,0060  0,3549
Java_ver(E)     double  x64     00000   00256   0,0702  4,1819
Java_ver(E)     double  x64     00001   00256   0,0932  5,5529
Java_ver(E)     double  x64     00002   00256   0,0752  4,4842
Java_ver(E)     double  x64     00003   00256   0,0872  5,1976
Java_ver(E)     double  x64     00004   00256   0,0782  4,6623
Java_ver(F)     double  x64     00000   00256   0,0857  5,1097
Java_ver(F)     double  x64     00001   00256   0,1073  6,3949
Java_ver(F)     double  x64     00002   00256   0,0816  4,8641
Java_ver(F)     double  x64     00003   00256   0,0849  5,0594
Java_ver(F)     double  x64     00004   00256   0,0598  3,5617

Testing matrix size: 362
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     double  x64     00000   00362   0,0365  0,7688
Java_ver(A)     double  x64     00001   00362   0,0308  0,6484
Java_ver(A)     double  x64     00002   00362   0,0349  0,7353
Java_ver(A)     double  x64     00003   00362   0,0314  0,6623
Java_ver(A)     double  x64     00004   00362   0,0307  0,6476
Java_ver(B)     double  x64     00000   00362   0,0351  0,7392
Java_ver(B)     double  x64     00001   00362   0,0314  0,6617
Java_ver(B)     double  x64     00002   00362   0,0360  0,7584
Java_ver(B)     double  x64     00003   00362   0,0370  0,7793
Java_ver(B)     double  x64     00004   00362   0,0393  0,8288
Java_ver(C)     double  x64     00000   00362   0,0211  0,4445
Java_ver(C)     double  x64     00001   00362   0,0169  0,3566
Java_ver(C)     double  x64     00002   00362   0,0135  0,2850
Java_ver(C)     double  x64     00003   00362   0,0136  0,2867
Java_ver(C)     double  x64     00004   00362   0,0136  0,2873
Java_ver(D)     double  x64     00000   00362   0,0191  0,4020
Java_ver(D)     double  x64     00001   00362   0,0142  0,2989
Java_ver(D)     double  x64     00002   00362   0,0152  0,3212
Java_ver(D)     double  x64     00003   00362   0,0159  0,3349
Java_ver(D)     double  x64     00004   00362   0,0149  0,3142
Java_ver(E)     double  x64     00000   00362   0,0497  1,0472
Java_ver(E)     double  x64     00001   00362   0,0460  0,9687
Java_ver(E)     double  x64     00002   00362   0,0642  1,3535
Java_ver(E)     double  x64     00003   00362   0,0670  1,4121
Java_ver(E)     double  x64     00004   00362   0,0573  1,2086
Java_ver(F)     double  x64     00000   00362   0,0522  1,1000
Java_ver(F)     double  x64     00001   00362   0,0542  1,1430
Java_ver(F)     double  x64     00002   00362   0,0650  1,3708
Java_ver(F)     double  x64     00003   00362   0,0576  1,2143
Java_ver(F)     double  x64     00004   00362   0,0674  1,4217

Testing matrix size: 400
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     double  x64     00000   00400   0,0460  0,7181
Java_ver(A)     double  x64     00001   00400   0,0450  0,7028
Java_ver(A)     double  x64     00002   00400   0,0450  0,7033
Java_ver(A)     double  x64     00003   00400   0,0457  0,7145
Java_ver(A)     double  x64     00004   00400   0,0518  0,8087
Java_ver(B)     double  x64     00000   00400   0,0515  0,8041
Java_ver(B)     double  x64     00001   00400   0,0473  0,7393
Java_ver(B)     double  x64     00002   00400   0,0498  0,7781
Java_ver(B)     double  x64     00003   00400   0,0477  0,7455
Java_ver(B)     double  x64     00004   00400   0,0469  0,7322
Java_ver(C)     double  x64     00000   00400   0,0333  0,5203
Java_ver(C)     double  x64     00001   00400   0,0256  0,3997
Java_ver(C)     double  x64     00002   00400   0,0180  0,2814
Java_ver(C)     double  x64     00003   00400   0,0193  0,3014
Java_ver(C)     double  x64     00004   00400   0,0200  0,3124
Java_ver(D)     double  x64     00000   00400   0,0301  0,4701
Java_ver(D)     double  x64     00001   00400   0,0191  0,2984
Java_ver(D)     double  x64     00002   00400   0,0193  0,3019
Java_ver(D)     double  x64     00003   00400   0,0294  0,4595
Java_ver(D)     double  x64     00004   00400   0,0198  0,3093
Java_ver(E)     double  x64     00000   00400   0,0681  1,0642
Java_ver(E)     double  x64     00001   00400   0,0620  0,9689
Java_ver(E)     double  x64     00002   00400   0,0788  1,2314
Java_ver(E)     double  x64     00003   00400   0,0732  1,1443
Java_ver(E)     double  x64     00004   00400   0,0730  1,1401
Java_ver(F)     double  x64     00000   00400   0,0745  1,1638
Java_ver(F)     double  x64     00001   00400   0,0635  0,9928
Java_ver(F)     double  x64     00002   00400   0,0754  1,1777
Java_ver(F)     double  x64     00003   00400   0,0774  1,2088
Java_ver(F)     double  x64     00004   00400   0,0743  1,1610

Testing matrix size: 512
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     double  x64     00000   00512   0,3290  2,4516
Java_ver(A)     double  x64     00001   00512   0,3394  2,5286
Java_ver(A)     double  x64     00002   00512   0,3203  2,3863
Java_ver(A)     double  x64     00003   00512   0,3463  2,5800
Java_ver(A)     double  x64     00004   00512   0,3155  2,3506
Java_ver(B)     double  x64     00000   00512   0,3194  2,3797
Java_ver(B)     double  x64     00001   00512   0,3179  2,3688
Java_ver(B)     double  x64     00002   00512   0,3093  2,3048
Java_ver(B)     double  x64     00003   00512   0,3120  2,3246
Java_ver(B)     double  x64     00004   00512   0,3145  2,3429
Java_ver(C)     double  x64     00000   00512   0,0560  0,4171
Java_ver(C)     double  x64     00001   00512   0,0585  0,4362
Java_ver(C)     double  x64     00002   00512   0,0504  0,3758
Java_ver(C)     double  x64     00003   00512   0,0388  0,2890
Java_ver(C)     double  x64     00004   00512   0,0383  0,2855
Java_ver(D)     double  x64     00000   00512   0,0484  0,3606
Java_ver(D)     double  x64     00001   00512   0,0442  0,3295
Java_ver(D)     double  x64     00002   00512   0,0420  0,3130
Java_ver(D)     double  x64     00003   00512   0,0451  0,3360
Java_ver(D)     double  x64     00004   00512   0,0396  0,2954
Java_ver(E)     double  x64     00000   00512   1,4571  10,8566
Java_ver(E)     double  x64     00001   00512   1,4736  10,9793
Java_ver(E)     double  x64     00002   00512   1,3472  10,0374
Java_ver(E)     double  x64     00003   00512   1,3537  10,0858
Java_ver(E)     double  x64     00004   00512   1,3283  9,8967
Java_ver(F)     double  x64     00000   00512   1,4917  11,1140
Java_ver(F)     double  x64     00001   00512   1,5051  11,2141
Java_ver(F)     double  x64     00002   00512   1,3356  9,9512
Java_ver(F)     double  x64     00003   00512   1,3268  9,8857
Java_ver(F)     double  x64     00004   00512   1,3276  9,8914

Testing matrix size: 836
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     double  x64     00000   00836   0,4780  0,8181
Java_ver(A)     double  x64     00001   00836   0,3880  0,6641
Java_ver(A)     double  x64     00002   00836   0,4386  0,7507
Java_ver(A)     double  x64     00003   00836   0,4128  0,7065
Java_ver(A)     double  x64     00004   00836   0,4488  0,7680
Java_ver(B)     double  x64     00000   00836   0,4120  0,7051
Java_ver(B)     double  x64     00001   00836   0,4064  0,6955
Java_ver(B)     double  x64     00002   00836   0,4569  0,7821
Java_ver(B)     double  x64     00003   00836   0,4261  0,7293
Java_ver(B)     double  x64     00004   00836   0,5113  0,8751
Java_ver(C)     double  x64     00000   00836   0,2051  0,3510
Java_ver(C)     double  x64     00001   00836   0,1979  0,3387
Java_ver(C)     double  x64     00002   00836   0,1772  0,3033
Java_ver(C)     double  x64     00003   00836   0,1901  0,3253
Java_ver(C)     double  x64     00004   00836   0,2009  0,3439
Java_ver(D)     double  x64     00000   00836   0,1789  0,3061
Java_ver(D)     double  x64     00001   00836   0,1756  0,3006
Java_ver(D)     double  x64     00002   00836   0,1661  0,2843
Java_ver(D)     double  x64     00003   00836   0,1750  0,2995
Java_ver(D)     double  x64     00004   00836   0,2087  0,3571
Java_ver(E)     double  x64     00000   00836   0,5849  1,0010
Java_ver(E)     double  x64     00001   00836   0,6163  1,0547
Java_ver(E)     double  x64     00002   00836   0,7397  1,2660
Java_ver(E)     double  x64     00003   00836   0,7772  1,3301
Java_ver(E)     double  x64     00004   00836   0,7753  1,3269
Java_ver(F)     double  x64     00000   00836   0,6249  1,0695
Java_ver(F)     double  x64     00001   00836   0,6053  1,0359
Java_ver(F)     double  x64     00002   00836   0,7963  1,3629
Java_ver(F)     double  x64     00003   00836   0,7607  1,3019
Java_ver(F)     double  x64     00004   00836   0,7372  1,2617

Testing matrix size: 1182
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     double  x64     00000   01182   1,1338  0,6866
Java_ver(A)     double  x64     00001   01182   1,1472  0,6947
Java_ver(A)     double  x64     00002   01182   1,1980  0,7254
Java_ver(A)     double  x64     00003   01182   1,1809  0,7151
Java_ver(A)     double  x64     00004   01182   1,2027  0,7283
Java_ver(B)     double  x64     00000   01182   1,1555  0,6997
Java_ver(B)     double  x64     00001   01182   1,1575  0,7009
Java_ver(B)     double  x64     00002   01182   1,2461  0,7546
Java_ver(B)     double  x64     00003   01182   1,2655  0,7663
Java_ver(B)     double  x64     00004   01182   1,2671  0,7673
Java_ver(C)     double  x64     00000   01182   0,5569  0,3372
Java_ver(C)     double  x64     00001   01182   0,5820  0,3524
Java_ver(C)     double  x64     00002   01182   0,4596  0,2783
Java_ver(C)     double  x64     00003   01182   0,5122  0,3102
Java_ver(C)     double  x64     00004   01182   0,4664  0,2824
Java_ver(D)     double  x64     00000   01182   0,5570  0,3373
Java_ver(D)     double  x64     00001   01182   0,4685  0,2837
Java_ver(D)     double  x64     00002   01182   0,4981  0,3016
Java_ver(D)     double  x64     00003   01182   0,4673  0,2829
Java_ver(D)     double  x64     00004   01182   0,5313  0,3217
Java_ver(E)     double  x64     00000   01182   3,9213  2,3745
Java_ver(E)     double  x64     00001   01182   3,9900  2,4161
Java_ver(E)     double  x64     00002   01182   3,9697  2,4038
Java_ver(E)     double  x64     00003   01182   3,9276  2,3784
Java_ver(E)     double  x64     00004   01182   3,7680  2,2817
Java_ver(F)     double  x64     00000   01182   3,9566  2,3959
Java_ver(F)     double  x64     00001   01182   3,9399  2,3858
Java_ver(F)     double  x64     00002   01182   3,8189  2,3125
Java_ver(F)     double  x64     00003   01182   3,7894  2,2947
Java_ver(F)     double  x64     00004   01182   3,7879  2,2938

Testing matrix size: 1672
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     double  x64     00000   01672   3,3419  8,8119
Java_ver(A)     double  x64     00001   01672   3,3524  8,8397
Java_ver(A)     double  x64     00002   01672   3,6064  9,5093
Java_ver(A)     double  x64     00003   01672   3,7089  9,7795
Java_ver(A)     double  x64     00004   01672   3,6786  9,6998
Java_ver(B)     double  x64     00000   01672   3,8085  10,0421
Java_ver(B)     double  x64     00001   01672   3,9867  10,5122
Java_ver(B)     double  x64     00002   01672   3,9936  10,5303
Java_ver(B)     double  x64     00003   01672   3,9090  10,3071
Java_ver(B)     double  x64     00004   01672   3,8294  10,0972
Java_ver(C)     double  x64     00000   01672   1,6798  4,4293
Java_ver(C)     double  x64     00001   01672   1,6513  4,3541
Java_ver(C)     double  x64     00002   01672   1,4419  3,8019
Java_ver(C)     double  x64     00003   01672   1,3998  3,6910
Java_ver(C)     double  x64     00004   01672   1,4256  3,7589
Java_ver(D)     double  x64     00000   01672   1,6820  4,4350
Java_ver(D)     double  x64     00001   01672   1,6967  4,4739
Java_ver(D)     double  x64     00002   01672   1,6302  4,2985
Java_ver(D)     double  x64     00003   01672   1,7064  4,4993
Java_ver(D)     double  x64     00004   01672   1,6452  4,3382
Java_ver(E)     double  x64     00000   01672   15,4933 40,8525
Java_ver(E)     double  x64     00001   01672   15,5988 41,1307
Java_ver(E)     double  x64     00002   01672   14,7944 39,0097
Java_ver(E)     double  x64     00003   01672   14,8562 39,1726
Java_ver(E)     double  x64     00004   01672   14,7911 39,0011
Java_ver(F)     double  x64     00000   01672   15,5699 41,0544
Java_ver(F)     double  x64     00001   01672   16,1338 42,5414
Java_ver(F)     double  x64     00002   01672   15,6151 41,1738
Java_ver(F)     double  x64     00003   01672   15,6507 41,2676
Java_ver(F)     double  x64     00004   01672   15,6118 41,1650
