Running float version...

Testing matrix size: 91 
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(C)     float   x64     00001   00181   0,0019  0,3211
Java_ver(C)     float   x64     00002   00181   0,0018  0,3021
Java_ver(C)     float   x64     00003   00181   0,0017  0,2911
Java_ver(C)     float   x64     00004   00181   0,0021  0,3487
Java_ver(D)     float   x64     00000   00181   0,0072  1,2112
Java_ver(D)     float   x64     00001   00181   0,0017  0,2849
Java_ver(D)     float   x64     00002   00181   0,0021  0,3468
Java_ver(D)     float   x64     00003   00181   0,0019  0,3121
Java_ver(D)     float   x64     00004   00181   0,0020  0,3418
Java_ver(E)     float   x64     00000   00181   0,0072  1,2090
Java_ver(E)     float   x64     00001   00181   0,0040  0,6688
Java_ver(E)     float   x64     00002   00181   0,0051  0,8680
Java_ver(E)     float   x64     00003   00181   0,0038  0,6444
Java_ver(E)     float   x64     00004   00181   0,0044  0,7405
Java_ver(F)     float   x64     00000   00181   0,0080  1,3508
Java_ver(F)     float   x64     00001   00181   0,0041  0,6921
Java_ver(F)     float   x64     00002   00181   0,0050  0,8479
Java_ver(F)     float   x64     00003   00181   0,0044  0,7357
Java_ver(F)     float   x64     00004   00181   0,0040  0,6801

Testing matrix size: 200
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     float   x64     00000   00200   0,0092  1,1547
Java_ver(A)     float   x64     00001   00200   0,0053  0,6646
Java_ver(A)     float   x64     00002   00200   0,0058  0,7304
Java_ver(A)     float   x64     00003   00200   0,0076  0,9501
Java_ver(A)     float   x64     00004   00200   0,0053  0,6623
Java_ver(B)     float   x64     00000   00200   0,0094  1,1735
Java_ver(B)     float   x64     00001   00200   0,0059  0,7420
Java_ver(B)     float   x64     00002   00200   0,0065  0,8158
Java_ver(B)     float   x64     00003   00200   0,0061  0,7665
Java_ver(B)     float   x64     00004   00200   0,0063  0,7870
Java_ver(C)     float   x64     00000   00200   0,0102  1,2739
Java_ver(C)     float   x64     00001   00200   0,0037  0,4576
Java_ver(C)     float   x64     00002   00200   0,0020  0,2542
Java_ver(C)     float   x64     00003   00200   0,0021  0,2564
Java_ver(C)     float   x64     00004   00200   0,0026  0,3192
Java_ver(D)     float   x64     00000   00200   0,0082  1,0299
Java_ver(D)     float   x64     00001   00200   0,0030  0,3693
Java_ver(D)     float   x64     00002   00200   0,0023  0,2861
Java_ver(D)     float   x64     00003   00200   0,0025  0,3164
Java_ver(D)     float   x64     00004   00200   0,0024  0,2974
Java_ver(E)     float   x64     00000   00200   0,0117  1,4635
Java_ver(E)     float   x64     00001   00200   0,0060  0,7483
Java_ver(E)     float   x64     00002   00200   0,0065  0,8163
Java_ver(E)     float   x64     00003   00200   0,0091  1,1318
Java_ver(E)     float   x64     00004   00200   0,0058  0,7230
Java_ver(F)     float   x64     00000   00200   0,0090  1,1193
Java_ver(F)     float   x64     00001   00200   0,0057  0,7071
Java_ver(F)     float   x64     00002   00200   0,0068  0,8556
Java_ver(F)     float   x64     00003   00200   0,0081  1,0105
Java_ver(F)     float   x64     00004   00200   0,0056  0,6939

Testing matrix size: 256
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     float   x64     00000   00256   0,0210  1,2537
Java_ver(A)     float   x64     00001   00256   0,0168  1,0011
Java_ver(A)     float   x64     00002   00256   0,0179  1,0686
Java_ver(A)     float   x64     00003   00256   0,0174  1,0400
Java_ver(A)     float   x64     00004   00256   0,0174  1,0376
Java_ver(B)     float   x64     00000   00256   0,0208  1,2398
Java_ver(B)     float   x64     00001   00256   0,0166  0,9893
Java_ver(B)     float   x64     00002   00256   0,0168  1,0029
Java_ver(B)     float   x64     00003   00256   0,0167  0,9954
Java_ver(B)     float   x64     00004   00256   0,0177  1,0569
Java_ver(C)     float   x64     00000   00256   0,0117  0,6956
Java_ver(C)     float   x64     00001   00256   0,0060  0,3563
Java_ver(C)     float   x64     00002   00256   0,0050  0,2958
Java_ver(C)     float   x64     00003   00256   0,0044  0,2633
Java_ver(C)     float   x64     00004   00256   0,0052  0,3108
Java_ver(D)     float   x64     00000   00256   0,0418  2,4903
Java_ver(D)     float   x64     00001   00256   0,0073  0,4339
Java_ver(D)     float   x64     00002   00256   0,0062  0,3677
Java_ver(D)     float   x64     00003   00256   0,0071  0,4206
Java_ver(D)     float   x64     00004   00256   0,0067  0,3973
Java_ver(E)     float   x64     00000   00256   0,0323  1,9226
Java_ver(E)     float   x64     00001   00256   0,0304  1,8103
Java_ver(E)     float   x64     00002   00256   0,0248  1,4772
Java_ver(E)     float   x64     00003   00256   0,0261  1,5567
Java_ver(E)     float   x64     00004   00256   0,0251  1,4986
Java_ver(F)     float   x64     00000   00256   0,0325  1,9343
Java_ver(F)     float   x64     00001   00256   0,0317  1,8920
Java_ver(F)     float   x64     00002   00256   0,0300  1,7903
Java_ver(F)     float   x64     00003   00256   0,0300  1,7876
Java_ver(F)     float   x64     00004   00256   0,0306  1,8254

Testing matrix size: 362
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Java_ver(A)     float   x64     00000   00362   0,0353  0,7441
