PS C:\Users\usuario\Downloads\proyecto arquicomp>
PS C:\Users\usuario\Downloads\proyecto arquicomp> powershell -ExecutionPolicy By
PS C:\Users\usuario\Downloads\proyecto arquicomp> powershell -ExecutionPolicy By
pass -File .\run_python_tests.ps1
PS C:\Users\usuario\Downloads\proyecto arquicomp>
PS C:\Users\usuario\Downloads\proyecto arquicomp> powershell -ExecutionPolicy 
Bypass -File .\run_python_tests.ps1























Running Python tests for all matrix sizes...
Py_ver(E)       double  x64     00001   00362   13.5362 285.3446
Py_ver(E)       double  x64     00002   00362   13.6183 287.0767
Py_ver(E)       double  x64     00003   00362   13.4827 284.2182
Py_ver(E)       double  x64     00004   00362   13.5440 285.5100
Py_ver(F)       double  x64     00000   00362   13.5571 285.7868
Py_ver(F)       double  x64     00001   00362   13.5927 286.5363
Py_ver(F)       double  x64     00002   00362   13.5921 286.5233
Py_ver(F)       double  x64     00003   00362   13.5602 285.8521
Py_ver(F)       double  x64     00004   00362   13.5425 285.4784

Testing matrix size: 400
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Py_ver(A)       float   x64     00000   00400   14.1065 220.4145
Py_ver(A)       float   x64     00001   00400   14.3926 224.8850
Py_ver(A)       float   x64     00002   00400   14.0869 220.1079
Py_ver(A)       float   x64     00003   00400   14.1090 220.4529
Py_ver(A)       float   x64     00004   00400   14.0779 219.9666
Py_ver(B)       float   x64     00000   00400   14.3092 223.5810
Py_ver(B)       float   x64     00001   00400   13.9537 218.0259
Py_ver(B)       float   x64     00002   00400   14.0206 219.0718
Py_ver(B)       float   x64     00003   00400   14.0757 219.9333
Py_ver(B)       float   x64     00004   00400   14.0752 219.9252
Py_ver(C)       float   x64     00000   00400   16.6280 259.8125
Py_ver(C)       float   x64     00001   00400   16.5894 259.2098
Py_ver(C)       float   x64     00002   00400   16.5558 258.6845
Py_ver(C)       float   x64     00003   00400   16.6079 259.4990
Py_ver(C)       float   x64     00004   00400   16.4766 257.4464
Py_ver(D)       float   x64     00000   00400   16.6672 260.4252
Py_ver(D)       float   x64     00001   00400   16.6771 260.5795
Py_ver(D)       float   x64     00002   00400   16.5954 259.3030
Py_ver(D)       float   x64     00003   00400   16.6227 259.7298
Py_ver(D)       float   x64     00004   00400   16.6107 259.5423
Py_ver(E)       float   x64     00000   00400   16.9731 265.2054
Py_ver(E)       float   x64     00001   00400   16.4240 256.6246
Py_ver(E)       float   x64     00002   00400   17.4293 272.3327
Py_ver(E)       float   x64     00003   00400   16.5044 257.8818
Py_ver(E)       float   x64     00004   00400   16.7265 261.3517
Py_ver(F)       float   x64     00000   00400   16.8005 262.5075
Py_ver(F)       float   x64     00001   00400   16.6383 259.9741
Py_ver(F)       float   x64     00002   00400   16.5121 258.0011
Py_ver(F)       float   x64     00003   00400   16.4970 257.7663
Py_ver(F)       float   x64     00004   00400   16.4371 256.8289
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Py_ver(A)       double  x64     00000   00400   13.8481 216.3770
Py_ver(A)       double  x64     00001   00400   13.9103 217.3478
Py_ver(A)       double  x64     00002   00400   13.8540 216.4682
Py_ver(A)       double  x64     00003   00400   13.7770 215.2653
Py_ver(A)       double  x64     00004   00400   13.8565 216.5078
Py_ver(B)       double  x64     00000   00400   13.8715 216.7422
Py_ver(B)       double  x64     00001   00400   13.7317 214.5575
Py_ver(B)       double  x64     00002   00400   13.8742 216.7848
Py_ver(B)       double  x64     00003   00400   13.8672 216.6746
Py_ver(B)       double  x64     00004   00400   14.0021 218.7826
Py_ver(C)       double  x64     00000   00400   17.1251 267.5792
Py_ver(C)       double  x64     00001   00400   17.0053 265.7080
Py_ver(C)       double  x64     00002   00400   16.6543 260.2235
Py_ver(C)       double  x64     00003   00400   17.0055 265.7116
Py_ver(C)       double  x64     00004   00400   16.7058 261.0274
Py_ver(D)       double  x64     00000   00400   16.8140 262.7191
Py_ver(D)       double  x64     00001   00400   16.7875 262.3054
Py_ver(D)       double  x64     00002   00400   16.8039 262.5615
Py_ver(D)       double  x64     00003   00400   16.7574 261.8348
Py_ver(D)       double  x64     00004   00400   16.7842 262.2525
Py_ver(E)       double  x64     00000   00400   16.6646 260.3849
Py_ver(E)       double  x64     00001   00400   16.5163 258.0671
Py_ver(E)       double  x64     00002   00400   16.5650 258.8278
Py_ver(E)       double  x64     00003   00400   16.4957 257.7457
Py_ver(E)       double  x64     00004   00400   16.6598 260.3089
Py_ver(F)       double  x64     00000   00400   16.5785 259.0383
Py_ver(F)       double  x64     00001   00400   16.5330 258.3282
Py_ver(F)       double  x64     00002   00400   16.6506 260.1658
Py_ver(F)       double  x64     00003   00400   16.9577 264.9636
Py_ver(F)       double  x64     00004   00400   16.5274 258.2404

Testing matrix size: 512
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Py_ver(A)       float   x64     00000   00512   29.4935 219.7440
Py_ver(A)       float   x64     00001   00512   29.3047 218.3370
Py_ver(A)       float   x64     00002   00512   29.1843 217.4396
Py_ver(A)       float   x64     00003   00512   29.1551 217.2224
Py_ver(A)       float   x64     00004   00512   29.1959 217.5266
Py_ver(B)       float   x64     00000   00512   29.2099 217.6304
Py_ver(B)       float   x64     00001   00512   29.2253 217.7456
Py_ver(B)       float   x64     00002   00512   29.2304 217.7833
Py_ver(B)       float   x64     00003   00512   29.1654 217.2995
Py_ver(B)       float   x64     00004   00512   29.6154 220.6523
Py_ver(C)       float   x64     00000   00512   34.9615 260.4835
Py_ver(C)       float   x64     00001   00512   34.9132 260.1234
Py_ver(C)       float   x64     00002   00512   34.7362 258.8050
Py_ver(C)       float   x64     00003   00512   34.6831 258.4091
Py_ver(C)       float   x64     00004   00512   34.7738 259.0847
Py_ver(D)       float   x64     00000   00512   34.7003 258.5373
Py_ver(D)       float   x64     00001   00512   34.7294 258.7541
Py_ver(D)       float   x64     00002   00512   35.0993 261.5104
Py_ver(D)       float   x64     00003   00512   35.1428 261.8342
Py_ver(D)       float   x64     00004   00512   35.2407 262.5639
Py_ver(E)       float   x64     00000   00512   34.6436 258.1150
Py_ver(E)       float   x64     00001   00512   34.6040 257.8197
Py_ver(E)       float   x64     00002   00512   34.5094 257.1153
Py_ver(E)       float   x64     00003   00512   34.5264 257.2417
Py_ver(E)       float   x64     00004   00512   34.6041 257.8206
Py_ver(F)       float   x64     00000   00512   34.5309 257.2755
Py_ver(F)       float   x64     00001   00512   34.7823 259.1482
Py_ver(F)       float   x64     00002   00512   34.5730 257.5891
Py_ver(F)       float   x64     00003   00512   34.7582 258.9686
Py_ver(F)       float   x64     00004   00512   34.7193 258.6793
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Py_ver(A)       double  x64     00000   00512   28.7728 214.3739
Py_ver(A)       double  x64     00001   00512   28.7473 214.1841
Py_ver(A)       double  x64     00002   00512   29.0326 216.3098
Py_ver(A)       double  x64     00003   00512   28.7770 214.4056
Py_ver(A)       double  x64     00004   00512   28.8195 214.7222
Py_ver(B)       double  x64     00000   00512   28.9118 215.4094
Py_ver(B)       double  x64     00001   00512   29.2038 217.5852
Py_ver(B)       double  x64     00002   00512   29.8302 222.2524
Py_ver(B)       double  x64     00003   00512   29.3841 218.9290
Py_ver(B)       double  x64     00004   00512   28.8645 215.0574
Py_ver(C)       double  x64     00000   00512   35.4596 264.1947
Py_ver(C)       double  x64     00001   00512   35.1455 261.8547
Py_ver(C)       double  x64     00002   00512   35.0951 261.4787
Py_ver(C)       double  x64     00003   00512   35.1032 261.5393
Py_ver(C)       double  x64     00004   00512   35.1148 261.6255
Py_ver(D)       double  x64     00000   00512   35.5940 265.1961
Py_ver(D)       double  x64     00001   00512   35.1856 262.1530
Py_ver(D)       double  x64     00002   00512   35.6018 265.2540
Py_ver(D)       double  x64     00003   00512   35.1528 261.9089
Py_ver(D)       double  x64     00004   00512   35.1056 261.5571
Py_ver(E)       double  x64     00000   00512   34.9739 260.5758
Py_ver(E)       double  x64     00001   00512   34.8132 259.3782
Py_ver(E)       double  x64     00002   00512   34.9013 260.0347
Py_ver(E)       double  x64     00003   00512   35.0305 260.9972
Py_ver(E)       double  x64     00004   00512   35.1958 262.2294
Py_ver(F)       double  x64     00000   00512   35.1281 261.7250
Py_ver(F)       double  x64     00001   00512   34.8879 259.9354
Py_ver(F)       double  x64     00002   00512   34.9165 260.1480
Py_ver(F)       double  x64     00003   00512   34.8179 259.4133
Py_ver(F)       double  x64     00004   00512   34.8329 259.5256
