PS C:\Users\usuario\Downloads\proyecto arquicomp>
PS C:\Users\usuario\Downloads\proyecto arquicomp> powershell -ExecutionPolicy By
PS C:\Users\usuario\Downloads\proyecto arquicomp> powershell -ExecutionPolicy By
pass -File .\run_python_tests.ps1
PS C:\Users\usuario\Downloads\proyecto arquicomp>
PS C:\Users\usuario\Downloads\proyecto arquicomp> powershell -ExecutionPolicy 
Bypass -File .\run_python_tests.ps1























Running Python tests for all matrix sizes...
Py_ver(A)       double  x64     00004   00128   0.4699  224.0674
Py_ver(B)       double  x64     00000   00128   0.4723  225.2012
Py_ver(B)       double  x64     00001   00128   0.4902  233.7460
Py_ver(B)       double  x64     00002   00128   0.4713  224.7508
Py_ver(B)       double  x64     00003   00128   0.4991  237.9921
Py_ver(B)       double  x64     00004   00128   0.4637  221.1144
Py_ver(C)       double  x64     00000   00128   0.6030  287.5531
Py_ver(C)       double  x64     00001   00128   0.5695  271.5616
Py_ver(C)       double  x64     00002   00128   0.6182  294.7777
Py_ver(C)       double  x64     00003   00128   0.5913  281.9476
Py_ver(C)       double  x64     00004   00128   0.5992  285.7022
Py_ver(D)       double  x64     00000   00128   0.5863  279.5901
Py_ver(D)       double  x64     00001   00128   0.5662  269.9680
Py_ver(D)       double  x64     00002   00128   0.5766  274.9579
Py_ver(D)       double  x64     00003   00128   0.5937  283.0900
Py_ver(D)       double  x64     00004   00128   0.5687  271.1569
Py_ver(E)       double  x64     00000   00128   0.5511  262.7734
Py_ver(E)       double  x64     00001   00128   0.6039  287.9386
Py_ver(E)       double  x64     00002   00128   0.5978  285.0486
Py_ver(E)       double  x64     00003   00128   0.5837  278.3173
Py_ver(E)       double  x64     00004   00128   0.5587  266.4098
Py_ver(F)       double  x64     00000   00128   0.5550  264.6620
Py_ver(F)       double  x64     00001   00128   0.6092  290.5046
Py_ver(F)       double  x64     00002   00128   0.5657  269.7534
Py_ver(F)       double  x64     00003   00128   0.6185  294.9115
Py_ver(F)       double  x64     00004   00128   0.5966  284.4934

Testing matrix size: 157
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Py_ver(A)       float   x64     00000   00157   0.9377  242.2959
Py_ver(A)       float   x64     00001   00157   0.8761  226.3941
Py_ver(A)       float   x64     00002   00157   0.8798  227.3327
Py_ver(A)       float   x64     00003   00157   0.9541  246.5488
Py_ver(A)       float   x64     00004   00157   0.9317  240.7451
Py_ver(B)       float   x64     00000   00157   0.9454  244.3020
Py_ver(B)       float   x64     00001   00157   0.9198  237.6835
Py_ver(B)       float   x64     00002   00157   0.9308  240.5108
Py_ver(B)       float   x64     00003   00157   0.9221  238.2721
Py_ver(B)       float   x64     00004   00157   0.9508  245.6924
Py_ver(C)       float   x64     00000   00157   1.0876  281.0374
Py_ver(C)       float   x64     00001   00157   1.0810  279.3294
Py_ver(C)       float   x64     00002   00157   1.0654  275.3135
Py_ver(C)       float   x64     00003   00157   1.0721  277.0336
Py_ver(C)       float   x64     00004   00157   1.0721  277.0441
Py_ver(D)       float   x64     00000   00157   1.0666  275.6109
Py_ver(D)       float   x64     00001   00157   1.0605  274.0440
Py_ver(D)       float   x64     00002   00157   1.0769  278.2858
Py_ver(D)       float   x64     00003   00157   1.0967  283.3862
Py_ver(D)       float   x64     00004   00157   1.1005  284.3665
Py_ver(E)       float   x64     00000   00157   1.0441  269.7924
Py_ver(E)       float   x64     00001   00157   1.0572  273.1817
Py_ver(E)       float   x64     00002   00157   1.0988  283.9330
Py_ver(E)       float   x64     00003   00157   1.1126  287.5049
Py_ver(E)       float   x64     00004   00157   1.0687  276.1507
Py_ver(F)       float   x64     00000   00157   1.0451  270.0530
Py_ver(F)       float   x64     00001   00157   1.0499  271.2949
Py_ver(F)       float   x64     00002   00157   1.0866  280.7843
Py_ver(F)       float   x64     00003   00157   1.0519  271.8159
Py_ver(F)       float   x64     00004   00157   1.0774  278.4026
ver     typeData        ISA     #sample n       time(s) Normalized(ns)
Py_ver(A)       double  x64     00000   00157   0.9232  238.5594
Py_ver(A)       double  x64     00001   00157   0.8487  219.3091
Py_ver(A)       double  x64     00002   00157   0.9249  238.9994
Py_ver(A)       double  x64     00003   00157   0.9146  236.3392
Py_ver(A)       double  x64     00004   00157   0.9467  244.6362
Py_ver(B)       double  x64     00000   00157   0.9750  251.9421
Py_ver(B)       double  x64     00001   00157   0.8666  223.9424
